Objectid,Division,District_name,Dist_Code,"Confirmed_cases 
Upto 05 April","Confirmed_cases 
Upto 06 April","Confirmed_cases 
Upto 07 April",Confirmed_cases Upto 08 April,Confirmed_cases Upto 09 April,Confirmed_cases Upto 11 April,Confirmed_cases Upto 13 April,Confirmed_cases Upto 14 April,Confirmed_cases Upto 15 April,Confirmed_cases Upto 16 April,Confirmed_cases Upto 17 April,Confirmed_cases Upto 18 April,Confirmed_cases Upto 19 April,Confirmed_cases Upto 20 April,Confirmed_cases Upto 21 April,Confirmed_cases Upto 22 April,Confirmed_cases Upto 23 April,"Recovered_cases
Upto 23 April",Confirmed_cases Upto 24 April,Confirmed_cases Upto 25 April,Confirmed_cases Upto 26 April,"Recovered_cases
Upto 26 April",Confirmed_cases Upto 27 April,"Death_cases
Upto 27 April","Recovered_cases
Upto 27 April",Confirmed_cases Upto 28 April,"Death_cases
Upto 28 April","Recovered_cases
Upto 28 April",Confirmed_cases Upto 29 April,"Death_cases
Upto 29 April",Confirmed_cases Upto 30 April,"Death_cases
Upto 30 April",Confirmed_cases Upto 01 May,"Death_cases
Upto 01 May",Confirmed_cases Upto 02 May,"Death_cases
Upto 02 May",Confirmed_cases Upto 03 May,"Death_cases
Upto 03 May",Confirmed_cases Upto 04 May,"Death_cases
Upto 04 May",Confirmed_cases Upto 05 May,"Death_cases
Upto 05 May",Confirmed_cases Upto 06 May,"Death_cases
Upto 06 May",Confirmed_cases Upto 07 May,Confirmed_cases Upto 08 May,Confirmed_cases Upto 09 May,Confirmed_cases Upto 10 May,Confirmed_cases Upto 11 May,Confirmed_cases Upto 12 May,Confirmed_cases Upto 14 May,Confirmed_cases Upto 15 May,Confirmed_cases Upto 16 May,Confirmed_cases Upto 17 May,Confirmed_cases Upto 19 May,Confirmed_cases Upto 20 May,Confirmed_cases Upto 24 May,Confirmed_cases Upto 01 June,Confirmed_cases Upto 08 June
13,Dhaka,Dhaka,3026,54,64,90,129,209,270,401,484,546,636,768,877,1014,1216,1277,1522,1736,69,2124,2299,2564,77,2802,79,77,3095,82,77,3518,88,3850,92,4082,93,4419,98,4609,98,4895,101,5357,101,5842,103,6081,6365,6629,6868,7509,7922,8490,8845,9190,9855,10878,12386,13797,16922,21717
9,Chittagong,Chittagong,2015,1,1,3,3,9,8,18,20,31,36,37,38,39,43,41,42,45,2,45,46,48,1,56,2,2,67,2,2,70,2,74,2,75,2,78,2,80,2,82,2,105,2,112,2,140,159,207,220,266,314,497,553,619,695,940,1100,1556,2288,2998
42,Dhaka,Narayanganj,3067,11,23,38,46,59,83,144,164,214,255,289,309,386,387,469,508,532,19,566,594,625,25,699,39,25,849,39,25,863,39,923,39,966,39,987,39,1007,40,1021,40,1055,40,1072,41,1078,1136,1177,1198,1243,1286,1345,1391,1426,1463,1508,1582,1771,2057,2598
11,Chittagong,Comilla,2019,1,1,2,2,4,8,9,14,14,14,15,17,19,21,25,27,27,1,32,39,41,1,42,4,1,47,4,1,81,4,93,4,99,4,104,4,105,4,105,4,112,4,130,4,135,150,169,171,182,186,225,259,278,298,371,400,482,771,1195
18,Dhaka,Gazipur,3033,1,1,1,1,2,12,35,53,53,98,117,161,173,269,269,269,292,1,294,261,308,1,315,0,1,318,0,1,320,0,322,0,322,0,322,0,324,0,325,0,326,0,328,0,328,330,332,333,338,347,460,490,509,527,535,539,544,635,1165
38,Dhaka,Munshiganj,3059,0,0,0,0,0,11,17,21,21,26,27,33,33,33,54,61,63,0,63,62,72,0,78,3,0,82,3,0,82,3,110,4,112,4,122,4,126,4,127,4,161,4,170,4,178,210,212,216,216,217,283,297,297,329,383,400,581,698,985
12,Chittagong,Cox's Bazar,2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,6,6,13,1,13,0,1,19,0,1,20,0,23,0,37,0,37,0,37,0,37,0,39,0,40,0,53,72,77,83,95,107,127,139,161,185,199,232,329,636,969
48,Chittagong,Noakhali,2075,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,4,0,4,5,5,0,5,1,0,6,1,0,6,1,6,1,9,1,9,1,15,1,17,1,21,1,22,1,23,27,27,30,48,59,69,89,103,113,168,199,373,574,838
62,Sylhet,Sylhet,6091,0,0,0,1,1,1,1,1,1,3,3,3,3,4,4,4,6,0,11,11,12,0,14,2,0,16,2,0,16,2,18,2,18,2,18,2,18,2,18,2,24,2,27,2,27,28,28,36,36,39,39,39,40,48,48,48,155,292,676
39,Mymensingh,Mymensingh,4561,0,0,0,0,4,5,5,7,7,9,18,19,21,33,40,63,68,0,68,87,92,0,108,2,0,117,2,0,125,2,143,2,145,2,145,2,150,2,166,3,169,3,198,3,201,204,212,221,233,246,262,276,284,295,340,351,380,489,571
56,Rangpur,Rangpur,5585,1,1,1,1,2,2,2,2,2,3,4,4,5,6,7,9,10,0,15,18,20,0,21,0,0,28,0,0,28,0,31,0,38,0,45,0,50,1,62,1,75,1,82,1,89,89,120,128,134,143,156,173,213,272,286,325,371,415,511
15,Dhaka,Faridpur,3029,0,0,0,0,0,0,0,2,2,2,9,4,4,6,5,6,7,0,8,9,9,0,9,0,0,9,0,0,12,0,12,0,13,0,13,0,13,0,14,0,15,0,21,0,21,21,21,24,31,32,47,51,55,56,69,106,134,172,348
28,Dhaka,Kishoreganj,3048,0,0,0,1,1,10,10,17,17,33,33,54,77,146,146,146,,0,180,181,183,0,191,1,0,194,1,0,197,1,200,1,201,1,201,1,201,1,202,1,202,1,202,1,202,202,202,202,205,205,206,206,206,207,207,209,231,233,314
21,Mymensingh,Jamalpur,4539,0,0,2,2,3,3,6,9,12,12,12,17,20,21,22,29,30,0,30,37,45,0,45,3,0,52,3,0,58,3,61,3,66,3,66,3,73,3,73,3,74,3,79,3,79,102,104,110,110,110,112,113,118,120,152,152,185,206,294
19,Dhaka,Gopalganj,3035,0,0,0,0,0,2,3,9,9,17,17,21,21,30,30,35,40,0,43,46,49,0,50,0,0,50,0,0,52,0,45,0,45,0,45,0,45,0,47,0,44,0,45,0,45,49,50,56,58,62,65,78,82,83,115,118,142,168,287
6,Rajshahi,Bogra,5010,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,10,0,10,11,17,0,17,0,0,17,0,0,18,0,19,0,19,0,19,0,19,0,19,0,18,0,18,0,18,18,18,18,18,18,29,29,29,45,56,63,137,218,269
46,Mymensingh,Netrakona,4572,0,0,0,0,0,1,1,2,4,6,7,12,14,14,18,22,22,0,22,25,25,0,25,0,0,27,0,0,29,0,29,0,32,0,32,0,41,0,51,0,52,0,62,0,63,64,68,68,70,81,82,89,91,108,112,120,201,211,269
16,Chittagong,Feni,2030,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,0,3,3,4,0,4,0,0,4,0,0,4,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,8,8,8,9,13,13,26,48,76,90,90,93,158,257
8,Chittagong,Chandpur,2013,0,0,0,0,0,4,6,6,6,7,8,8,8,10,10,10,10,0,10,10,11,0,11,0,0,11,0,0,13,0,14,0,15,0,15,0,15,0,15,0,27,0,37,0,42,43,55,55,56,56,74,77,79,81,86,86,103,109,255
61,Sylhet,Sunamganj,6090,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,0,13,13,14,0,15,0,0,26,0,0,28,0,28,0,29,0,33,0,33,0,33,0,35,0,35,0,35,35,37,38,38,43,43,43,43,46,46,52,77,120,217
40,Rajshahi,Naogaon,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,1,0,0,1,0,0,15,0,15,0,15,0,16,0,16,0,16,0,17,0,17,0,17,24,24,25,33,33,33,40,45,45,45,53,101,115,212
33,Dhaka,Madaripur,3054,11,11,11,11,11,13,19,19,19,23,23,25,25,25,26,27,28,9,28,29,30,9,36,2,9,38,2,9,38,2,39,2,39,2,46,2,46,2,47,2,48,2,53,2,53,54,54,54,57,57,61,61,61,63,69,71,71,115,203
43,Dhaka,Narsingdi,3068,0,0,2,4,4,4,20,28,28,64,65,93,105,135,136,136,141,1,141,141,142,1,142,1,1,142,1,1,142,1,145,1,151,1,151,1,152,1,154,1,166,1,167,1,167,171,171,171,172,172,173,173,173,174,174,175,175,176,191
7,Chittagong,Brahmanbaria,2012,0,0,0,0,0,4,6,8,8,8,9,10,11,11,11,24,25,0,25,29,31,0,35,2,0,35,2,0,37,2,40,2,43,2,43,2,44,2,55,2,56,2,56,2,56,57,57,57,57,58,59,60,60,67,67,67,90,116,186
25,Rajshahi,Joypurhat,5038,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,0,4,4,8,0,10,0,0,21,1,0,28,1,32,1,33,1,33,1,33,1,33,1,34,1,34,1,37,39,39,42,47,55,55,56,69,69,97,97,125,140,183
14,Rangpur,Dinajpur,5527,0,0,0,0,0,0,0,0,7,8,8,9,10,11,11,13,13,0,13,13,14,0,14,0,0,16,0,0,18,0,20,0,21,0,21,0,21,0,20,0,21,1,29,1,31,36,38,42,42,43,46,47,53,56,67,73,111,143,182
4,Barisal,Barisal,1006,0,0,0,0,0,0,2,7,10,12,17,18,21,24,32,34,34,0,35,38,38,0,38,0,0,40,0,0,40,0,40,0,40,0,40,0,41,0,41,0,41,0,44,0,47,48,48,54,55,56,59,60,60,60,60,61,64,70,182
20,Sylhet,Habiganj,6036,0,0,0,0,0,1,1,2,1,1,1,1,1,1,11,13,18,0,21,41,47,0,48,0,0,48,0,0,52,0,53,0,55,0,67,0,67,0,69,0,69,0,70,0,70,70,70,73,74,81,100,100,100,112,112,112,158,173,175
35,Dhaka,Manikganj,3056,0,0,3,3,3,5,5,5,5,5,5,6,6,7,9,9,9,0,12,12,12,0,15,0,0,15,0,0,21,0,21,0,22,0,22,0,22,0,22,0,24,0,28,0,28,28,28,28,29,29,29,29,29,38,58,58,79,134,167
22,Khulna,Jessore,4041,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,7,0,7,7,22,0,26,0,0,36,0,0,62,0,63,0,63,0,63,0,63,0,63,0,74,0,75,0,75,79,79,79,79,84,89,89,106,108,109,116,140,144,165
27,Khulna,Khulna,4047,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,6,0,7,7,7,0,8,0,0,8,0,0,11,0,11,0,13,0,13,0,16,0,16,0,17,0,17,0,20,20,20,20,22,22,23,23,23,27,33,36,47,73,159
58,Dhaka,Shariatpur,3086,1,1,1,1,1,1,1,5,5,6,6,7,7,8,8,11,11,0,11,14,22,0,22,1,0,24,1,0,24,1,30,1,30,1,39,1,35,1,40,1,44,1,54,1,55,57,57,57,65,60,66,67,67,71,73,74,80,119,153
